rating,default_mob,tenor,eir,prin_amt,lgd,recovery_rate
10,-1,24,0.38,15,-1.0,1.0
9,-1,48,0.38,15,-1.0,1.0
1,-1,24,0.31,100,-1.0,1.0
6,7,12,0.38,15,-1.0,1.0
4,-1,24,0.38,20,-1.0,1.0
9,-1,48,0.38,15,-1.0,1.0
3,3,36,0.31,50,-1.0,1.0
1,-1,24,0.31,100,-1.0,1.0
7,5,36,0.38,50,1.0,0.0
2,-1,30,0.375,51,-1.0,1.0
2,-1,30,0.375,51,-1.0,1.0
7,5,36,0.38,50,1.0,0.0
8,3,48,0.38,70,1.0,0.0
4,-1,24,0.38,20,-1.0,1.0
5,-1,48,0.4,47,-1.0,1.0
9,-1,48,0.38,15,-1.0,1.0
1,-1,24,0.31,100,-1.0,1.0
8,3,48,0.38,70,1.0,0.0
7,5,36,0.38,50,1.0,0.0
3,3,36,0.31,50,-1.0,1.0
