month,portfolio_loss
2024-12-01,0.0865
2024-11-01,0.0788
2024-10-01,0.0876
2024-09-01,0.0886
2024-08-01,0.1004
2024-07-01,0.0997
2024-06-01,0.0899
2024-05-01,0.0838
2024-04-01,0.0928
2024-03-01,0.082
2024-02-01,0.0978
2024-01-01,0.102
2023-12-01,0.1311
2023-11-01,0.139
2023-10-01,0.1311
2023-09-01,0.1402
2023-08-01,0.1388
2023-07-01,0.1357
2023-06-01,0.1533
2023-05-01,0.1465
2023-04-01,0.1527
2023-03-01,0.1677
2023-02-01,0.179
2023-01-01,0.1601
2022-12-01,0.1716
2022-11-01,0.1674
2022-10-01,0.1666
2022-09-01,0.1782
2022-08-01,0.1654
2022-07-01,0.1713
2022-06-01,0.1771
2022-05-01,0.1816
2022-04-01,0.1659
2022-03-01,0.1734
2022-02-01,0.179
2022-01-01,0.1364
2021-12-01,0.1049
2021-11-01,0.1224
2021-10-01,0.1208
2021-09-01,0.0942
2021-08-01,0.0992
2021-07-01,0.0921
2021-06-01,0.1062
2021-05-01,0.0947
2021-04-01,0.0972
2021-03-01,0.1024
2021-02-01,0.1004
2021-01-01,0.0864
