principal_amount,probability
10,0.0003
11,0.0001
12,0.0001
13,0.0001
14,0.0002
15,0.045
16,0.0011
17,0.0009
18,0.0013
19,0.0013
20,0.2158
21,0.0084
22,0.0019
23,0.0012
24,0.0014
25,0.0248
26,0.002
27,0.002
28,0.0023
29,0.0019
30,0.1674
31,0.0385
32,0.0053
33,0.0022
34,0.0016
35,0.0168
36,0.0015
37,0.0014
38,0.0018
39,0.0014
40,0.0898
41,0.022
42,0.0049
43,0.0021
44,0.0013
45,0.009
46,0.0012
47,0.0012
48,0.0016
49,0.0011
50,0.1231
51,0.0321
52,0.0074
53,0.0022
54,0.0017
55,0.0059
56,0.0006
57,0.0006
58,0.0008
59,0.0005
60,0.0374
61,0.0085
62,0.0022
63,0.001
64,0.0006
65,0.0051
66,0.0004
67,0.0005
68,0.0006
69,0.0019
70,0.0236
71,0.005
72,0.0015
73,0.0008
74,0.0003
75,0.0023
76,0.0003
77,0.0002
78,0.0004
79,0.0004
80,0.0151
81,0.0027
82,0.0005
83,0.0004
84,0.0003
85,0.0011
86,0.0003
87,0.0002
88,0.0002
89,0.0002
90,0.0028
91,0.0006
92,0.0002
93,0.0002
94,0.0002
95,0.0006
96,0.0004
97,0.0001
98,0.0002
99,0.0002
100,0.0216
