credit_rating,default_mob,probability
1,-1,0.97071
1,4,0.00072
1,5,0.00108
1,6,0.00036
1,7,0.00072
1,8,0.00217
1,9,0.00145
1,10,0.00108
1,11,0.00036
1,12,0.00217
1,13,0.00181
1,14,0.00325
1,15,0.00072
1,16,0.00181
1,17,0.00036
1,18,0.00036
1,19,0.00217
1,20,0.00145
1,21,0.00145
1,22,0.00072
1,23,0.00036
1,24,0.00072
1,25,0.00036
1,26,0.00036
1,27,0.00072
1,28,0.00036
1,29,0.00072
1,30,0.00108
1,31,0.00036
2,-1,0.93208
2,3,0.00038
2,4,0.00086
2,5,0.00105
2,6,0.00257
2,7,0.00209
2,8,0.00219
2,9,0.00352
2,10,0.0039
2,11,0.00352
2,12,0.00304
2,13,0.00419
2,14,0.00381
2,15,0.00295
2,16,0.00381
2,17,0.00314
2,18,0.00238
2,19,0.00295
2,20,0.00257
2,21,0.00247
2,22,0.00314
2,23,0.00162
2,24,0.00209
2,25,0.00238
2,26,0.00171
2,27,0.00057
2,28,0.00105
2,29,0.00086
2,30,0.00076
2,31,0.00057
2,32,0.00019
2,33,0.00048
2,34,0.00038
2,35,0.00019
2,36,0.00038
2,37,0.00019
3,-1,0.89817
3,3,0.00119
3,4,0.00222
3,5,0.00252
3,6,0.00351
3,7,0.0046
3,8,0.00489
3,9,0.0048
3,10,0.00554
3,11,0.00593
3,12,0.00588
3,13,0.00529
3,14,0.00559
3,15,0.00494
3,16,0.00445
3,17,0.00415
3,18,0.00395
3,19,0.00371
3,20,0.0047
3,21,0.00326
3,22,0.00252
3,23,0.00257
3,24,0.00267
3,25,0.00306
3,26,0.00178
3,27,0.00143
3,28,0.00143
3,29,0.00109
3,30,0.00109
3,31,0.00069
3,32,0.00079
3,33,0.00074
3,34,0.00035
3,35,0.00015
3,36,0.00015
3,37,0.00015
3,38,0.00005
4,-1,0.84965
4,3,0.00231
4,4,0.00462
4,5,0.006
4,6,0.00745
4,7,0.00705
4,8,0.00717
4,9,0.00807
4,10,0.00925
4,11,0.00835
4,12,0.00874
4,13,0.0085
4,14,0.00748
4,15,0.00682
4,16,0.00607
4,17,0.00674
4,18,0.0056
4,19,0.00509
4,20,0.00364
4,21,0.00466
4,22,0.00368
4,23,0.00341
4,24,0.00337
4,25,0.00361
4,26,0.00364
4,27,0.00141
4,28,0.00145
4,29,0.00165
4,30,0.00133
4,31,0.00067
4,32,0.00071
4,33,0.00074
4,34,0.00047
4,35,0.00031
4,36,0.00008
4,37,0.00004
4,38,0.00016
5,-1,0.79543
5,3,0.00452
5,4,0.00809
5,5,0.00958
5,6,0.0111
5,7,0.01202
5,8,0.01232
5,9,0.01315
5,10,0.0122
5,11,0.01145
5,12,0.0116
5,13,0.01116
5,14,0.01041
5,15,0.00928
5,16,0.00738
5,17,0.00765
5,18,0.00643
5,19,0.00583
5,20,0.00538
5,21,0.00458
5,22,0.00479
5,23,0.00461
5,24,0.00452
5,25,0.00345
5,26,0.00345
5,27,0.00211
5,28,0.0014
5,29,0.00167
5,30,0.00119
5,31,0.00065
5,32,0.0008
5,33,0.00054
5,34,0.00039
5,35,0.00039
5,36,0.00015
5,37,0.00021
5,38,0.00012
6,-1,0.73225
6,3,0.00777
6,4,0.01284
6,5,0.01459
6,6,0.01876
6,7,0.01817
6,8,0.01741
6,9,0.01765
6,10,0.01739
6,11,0.01599
6,12,0.01393
6,13,0.01348
6,14,0.01317
6,15,0.01047
6,16,0.00943
6,17,0.00858
6,18,0.00824
6,19,0.00668
6,20,0.0076
6,21,0.00564
6,22,0.0049
6,23,0.00422
6,24,0.00431
6,25,0.00429
6,26,0.0031
6,27,0.00171
6,28,0.00156
6,29,0.00147
6,30,0.00099
6,31,0.00102
6,32,0.00081
6,33,0.00064
6,34,0.00033
6,35,0.00028
6,36,0.00019
6,37,0.00007
6,38,0.00007
7,-1,0.6504
7,3,0.01434
7,4,0.02276
7,5,0.02548
7,6,0.02914
7,7,0.02624
7,8,0.02394
7,9,0.02372
7,10,0.0213
7,11,0.01958
7,12,0.01816
7,13,0.01595
7,14,0.01395
7,15,0.01086
7,16,0.01026
7,17,0.01008
7,18,0.00944
7,19,0.00856
7,20,0.0075
7,21,0.00596
7,22,0.00684
7,23,0.00551
7,24,0.00399
7,25,0.00363
7,26,0.00393
7,27,0.00163
7,28,0.00154
7,29,0.0016
7,30,0.00094
7,31,0.00061
7,32,0.0007
7,33,0.00067
7,34,0.00024
7,35,0.00018
7,36,0.00027
7,37,0.00003
7,38,0.00006
8,-1,0.58298
8,3,0.0193
8,4,0.03286
8,5,0.03391
8,6,0.03795
8,7,0.03271
8,8,0.03152
8,9,0.02713
8,10,0.02578
8,11,0.02429
8,12,0.0203
8,13,0.01686
8,14,0.01606
8,15,0.01217
8,16,0.01187
8,17,0.01067
8,18,0.00793
8,19,0.00928
8,20,0.00753
8,21,0.00678
8,22,0.00618
8,23,0.00524
8,24,0.00469
8,25,0.00354
8,26,0.00304
8,27,0.00259
8,28,0.00165
8,29,0.0013
8,30,0.0012
8,31,0.00065
8,32,0.0004
8,33,0.0006
8,34,0.00025
8,35,0.00015
8,36,0.00025
8,37,0.0003
8,38,0.0001
9,-1,0.518
9,3,0.03171
9,4,0.04022
9,5,0.04681
9,6,0.0469
9,7,0.04093
9,8,0.03768
9,9,0.0325
9,10,0.02863
9,11,0.02433
9,12,0.02152
9,13,0.01897
9,14,0.01695
9,15,0.0108
9,16,0.0123
9,17,0.01159
9,18,0.00913
9,19,0.00913
9,20,0.00773
9,21,0.00615
9,22,0.00562
9,23,0.00351
9,24,0.00448
9,25,0.00395
9,26,0.00307
9,27,0.00167
9,28,0.00149
9,29,0.00123
9,30,0.00079
9,31,0.00097
9,32,0.0007
9,33,0.00009
9,34,0.00026
9,35,0.00009
9,36,0.00009
10,-1,0.44628
10,3,0.04521
10,4,0.05559
10,5,0.05239
10,6,0.05
10,7,0.05319
10,8,0.04176
10,9,0.03803
10,10,0.02899
10,11,0.02234
10,12,0.02367
10,13,0.02128
10,14,0.02128
10,15,0.01064
10,16,0.01356
10,17,0.0117
10,18,0.0133
10,19,0.01011
10,20,0.00798
10,21,0.00505
10,22,0.00399
10,23,0.00612
10,24,0.00399
10,25,0.00426
10,26,0.00266
10,27,0.0008
10,28,0.00106
10,29,0.00133
10,30,0.00053
10,31,0.00053
10,32,0.00106
10,33,0.00027
10,34,0.00053
10,35,0.00053
